"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/community/communityHome.ts", "TypeScript", 0, 8, 0, 0, 3, 11
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/community/communityInfo.ts", "TypeScript", 0, 136, 0, 1, 10, 147
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/community/communityLists.ts", "TypeScript", 0, 62, 0, 0, 6, 68
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/community/communityPost.ts", "TypeScript", 0, 105, 0, 0, 7, 112
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/community/communitySlice.ts", "TypeScript", 0, 16, 0, 0, 3, 19
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/community/createCommunity.ts", "TypeScript", 0, 88, 0, 0, 5, 93
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/communitysettings/communitysetting.ts", "TypeScript", 0, 6, 0, 0, 3, 9
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/communitysettings/manageSlice.ts", "TypeScript", 0, 172, 0, 0, 11, 183
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/communitysinglepost/communitysinglepostslice.ts", "TypeScript", 0, 285, 0, 0, 8, 293
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/communityusers/communityMembers.ts", "TypeScript", 0, 8, 0, 0, 4, 12
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/communityusers/communityModerator.ts", "TypeScript", 0, 63, 0, 0, 6, 69
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/communityusers/communityUser.ts", "TypeScript", 0, 66, 0, 0, 10, 76
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/explore-community/exploreSlice.ts", "TypeScript", 0, 133, 0, 0, 8, 141
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/general/singlePostSlice.ts", "TypeScript", 0, 8, 0, 0, 3, 11
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/home/homeSlice.ts", "TypeScript", 0, 10, 0, 0, 4, 14
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/home/latestSlice.ts", "TypeScript", 0, 98, 0, 0, 7, 105
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/home/mostviewedSlice.ts", "TypeScript", 0, 96, 0, 0, 6, 102
